City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,-5.73,84,24,6.29,GS,1694991830
1,tyuratam,45.6507,63.3156,17.32,37,41,3.58,KZ,1694991935
2,vila velha,-20.3297,-40.2925,23.3,88,0,5.66,BR,1694991796
3,edinburgh of the seven seas,-37.0676,-12.3116,12.5,83,63,11.36,SH,1694991935
4,qaqortoq,60.7167,-46.0333,2.75,58,0,1.2,GL,1694991935
5,longyearbyen,78.2186,15.6401,-2.09,80,75,4.63,SJ,1694991936
6,port-aux-francais,-49.35,70.2167,5.01,97,100,11.92,TF,1694991936
7,hami,42.8,93.45,16.37,29,98,5.75,CN,1694991936
8,tazovsky,67.4667,78.7,8.24,97,100,3.35,RU,1694991936
9,adamstown,-25.066,-130.1015,18.47,66,97,5.36,PN,1694991937
10,udachny,66.4167,112.4,-4.97,94,44,2.06,RU,1694991937
11,santona,43.4439,-3.4576,23.37,61,95,5.56,ES,1694991937
12,hadibu,12.65,54.0333,26.08,82,99,7.64,YE,1694991736
13,west island,-12.1568,96.8225,22.99,94,100,6.17,CC,1694991937
14,antibes,43.5624,7.1278,25.88,80,0,1.54,FR,1694991938
15,port lincoln,-34.7333,135.8667,15.53,74,92,3.95,AU,1694991938
16,iqaluit,63.7506,-68.5145,0.85,69,20,5.66,CA,1694991938
17,hermanus,-34.4187,19.2345,12.11,83,0,3.86,ZA,1694991939
18,kingston,17.997,-76.7936,31.53,81,75,5.66,JM,1694991629
19,san antonio de pale,-1.4014,5.6325,24.41,84,68,5.32,GQ,1694991939
20,arar,30.9753,41.0381,29.01,14,0,5.14,SA,1694991939
21,rio grande,-32.035,-52.0986,24.06,83,47,4.09,BR,1694991939
22,badger,64.8,-147.5333,7.98,96,100,7.72,US,1694991940
23,sinabang,2.4803,96.3801,26.11,84,99,2.99,ID,1694991940
24,maxixe,-23.8597,35.3472,20.1,77,100,6.24,MZ,1694991940
25,sambava,-14.2667,50.1667,21.37,87,52,4.07,MG,1694991940
26,thompson,55.7435,-97.8558,21.09,60,20,3.6,CA,1694991839
27,waitangi,-43.9535,-176.5597,13.23,78,13,4.92,NZ,1694991941
28,avarua,-21.2078,-159.775,23.03,64,20,5.14,CK,1694991941
29,lerwick,60.1545,-1.1494,13.0,94,100,7.1,GB,1694991941
30,igarka,67.4667,86.5833,5.9,70,100,7.11,RU,1694991941
31,francisco i. madero,29.7059,-107.8043,23.0,44,95,2.42,MX,1694991942
32,zhanaozen,43.3,52.8,16.41,75,88,6.83,KZ,1694991942
33,bredasdorp,-34.5322,20.0403,8.01,92,0,2.58,ZA,1694991942
34,bilibino,68.0546,166.4372,4.96,61,100,0.95,RU,1694991942
35,anadyr,64.75,177.4833,6.28,81,75,2.0,RU,1694991943
36,blackmans bay,-43.0167,147.3167,12.07,60,35,2.7,AU,1694991943
37,lihue,21.9789,-159.3672,30.58,65,40,5.66,US,1694991943
38,ancud,-41.8697,-73.8203,6.16,72,7,2.98,CL,1694991943
39,bethel,41.3712,-73.414,21.63,75,78,0.45,US,1694991943
40,port-gentil,-0.7193,8.7815,25.12,83,73,3.38,GA,1694991944
41,urziceni,44.7167,26.6333,17.47,71,60,2.2,RO,1694991944
42,ilulissat,69.2167,-51.1,1.01,86,100,2.06,GL,1694991944
43,kedougou,12.5579,-12.1743,25.32,94,75,5.14,SN,1694991944
44,ringas,27.35,75.5667,22.5,89,100,7.09,IN,1694991945
45,aasiaat,68.7098,-52.8699,-2.57,90,81,1.56,GL,1694991799
46,yekaterinovka,52.0508,44.3451,14.17,63,88,2.96,RU,1694991945
47,san patricio,28.017,-97.5169,34.53,33,0,4.23,US,1694991945
48,cooper's town,26.8667,-77.5167,29.03,72,99,4.07,BS,1694991946
49,severo-yeniseyskiy,60.3725,93.0408,10.62,80,100,0.95,RU,1694991946
50,fortaleza,-3.7227,-38.5247,27.34,78,40,5.14,BR,1694991902
51,puerto natales,-51.7236,-72.4875,0.82,78,75,1.74,CL,1694991712
52,ola,59.5833,151.2833,11.19,58,13,5.31,RU,1694991946
53,ushuaia,-54.8,-68.3,1.81,64,75,5.14,AR,1694991700
54,nili,33.7218,66.1302,17.0,22,0,2.9,AF,1694991948
55,kitimat,54.0524,-128.6534,13.21,99,95,3.58,CA,1694991948
56,richards bay,-28.783,32.0377,16.07,79,100,1.7,ZA,1694991948
